rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subj_code,success,question_order,task,correct_response,congruency,name,correct,slider_start,feedback_type,feedback,prev_feedback,prev_loss,prev_correct,prev_congruency,block_feedback_type,all_accuracy
521,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2940,2.1.0,1703863,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
568,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2945,2.1.0,1705812,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
519,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2950,2.1.0,1707647,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
801,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2955,2.1.0,1709902,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
535,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2960,2.1.0,1711799,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
476,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2965,2.1.0,1713721,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
435,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2970,2.1.0,1715436,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
473,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2975,2.1.0,1717380,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
398,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2980,2.1.0,1719165,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
745,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2985,2.1.0,1721250,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
535,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2990,2.1.0,1723196,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
720,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2995,2.1.0,1725232,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
640,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,3000,2.1.0,1727186,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
665,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3005,2.1.0,1729224,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
639,<span style='font-size: 35px;'>fel</span>,n,html-keyboard-response,3010,2.1.0,1731316,HdDcxr,,,probe,j,incongruent,vertical_incon_2,0,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
643,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,3015,2.1.0,1733260,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,0,incongruent,no_punishment_congruent,0.9408333333333333
557,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,3020,2.1.0,1735148,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
790,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3025,2.1.0,1737311,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
485,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,3030,2.1.0,1739270,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
656,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,3035,2.1.0,1741318,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
568,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,3040,2.1.0,1743298,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
510,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3045,2.1.0,1745198,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
549,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,3050,2.1.0,1747067,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
773,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3055,2.1.0,1749187,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
522,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,3060,2.1.0,1751036,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
602,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3065,2.1.0,1753095,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
575,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,3070,2.1.0,1755043,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
614,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,3075,2.1.0,1757022,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
534,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,3080,2.1.0,1758904,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
708,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,3085,2.1.0,1761039,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
711,<span style='font-size: 35px;'>le</span>,g,html-keyboard-response,3090,2.1.0,1763050,HdDcxr,,,probe,n,incongruent,vertical_incon_1,0,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
